Dataset,Model,RMSE,MAE,Max_Error
25C_DST_80SOC,AEKF,0.7380168217947682,0.6040280671878054,3.4447914866903915
25C_DST_80SOC,UKF,0.7177686581233083,0.590830177432951,3.0136626204796215
25C_DST_80SOC,SR-UKF,0.7119730047066412,0.5887523815906146,2.2659170994040068
25C_DST_80SOC,GST-IAEKF,0.7146334222583838,0.5905408790852201,3.2352492775676893
25C_FUDS_80SOC,AEKF,0.7827379577068055,0.641762921509937,4.641193003754523
25C_FUDS_80SOC,UKF,0.7694060336170314,0.6349333296504394,3.7503916083808235
25C_FUDS_80SOC,SR-UKF,0.7618990719263036,0.632055629412797,2.2861187987665534
25C_FUDS_80SOC,GST-IAEKF,0.7620407632683064,0.6317554875719028,3.9153632537060474
25C_US06_80SOC,AEKF,0.8283328037024311,0.6285729026245298,7.42943337362658
25C_US06_80SOC,UKF,0.8139317520311696,0.6204271118894772,6.051394796211042
25C_US06_80SOC,SR-UKF,0.7939137486397362,0.611004826742389,4.148969069995221
25C_US06_80SOC,GST-IAEKF,0.8006723021618616,0.6147188069619867,6.34315427411255
25C_BBDST_80SOC,AEKF,0.8854112173741819,0.7275594456779104,2.370604819824834
25C_BBDST_80SOC,UKF,0.8776395266967367,0.7230709594285304,2.181494717579099
25C_BBDST_80SOC,SR-UKF,0.8746276447754757,0.7207222279118971,2.146909720932726
25C_BBDST_80SOC,GST-IAEKF,0.8756560599477625,0.7209525317202048,2.1408727204566897
